S.no,Tiktoker name,Tiktok name,Subscribers,Views avg.,Likes avg.,Comments avg.,Shares avg.,Subscribers (M),Views avg. (M),Likes avg. (M),Comments avg. (K),Shares avg. (K)
240,kaan.etm,Kaan,3.3M,1.6M,411.5K,3.4K,4.7K,3.3,1.6,0.4115,3400.0,4700.0
241,nicocaponecomedy,nicocapone.comedy,23.1M,4.6M,317.3K,1.4K,2.3K,23.1,4.6,0.3173,1400.0,2300.0
242,aitch12,Aitch,2M,3.5M,351.4K,2.1K,2.3K,2.0,3.5,0.3514,2100.0,2300.0
243,kirbyquimado,Kirbyyy,187.9K,2.1M,274.9K,1.5K,7.6K,0.1879,2.1,0.2749,1500.0,7600.0
244,brycehall,Bryce Hall,22.7M,4.8M,497.8K,1.5K,711,22.7,4.8,0.4978,1500.0,711.0
245,straange_56guuuuy,aikihoruus?,5.9K,1.5M,276.6K,2.2K,10.8K,0.005900000000000001,1.5,0.2766,2200.0,10800.0
246,emillyvickof,Emilly Vick,12.1M,5.4M,444.8K,1.4K,799,12.1,5.4,0.44480000000000003,1400.0,799.0
247,datdo0803,Đỗ Đạt,7.6M,3.7M,368.2K,2.6K,1.1K,7.6,3.7,0.36819999999999997,2600.0,1100.0
248,darianrojasc,D A R I A NR O J A S,30.7M,3.3M,542.4K,2.4K,440,30.7,3.3,0.5424,2400.0,440.0
249,nicolassturniolo,Nicolas Sturniolo,3.3M,2.5M,412.1K,4.4K,582,3.3,2.5,0.4121,4400.0,582.0
250,ricardogaeta_,Ricardo Gaeta,737.8K,2.1M,232K,4.9K,5.3K,0.7377999999999999,2.1,0.232,4900.0,5300.0
251,giovannibonaccinii_,G I O V A N N I🦋,858.3K,2.2M,317.6K,3K,4.1K,0.8583,2.2,0.31760000000000005,3000.0,4100.0
252,girlsgeneration.official,GirlsGeneration,783.5K,2.7M,355.2K,2.9K,2.4K,0.7835,2.7,0.3552,2900.0,2400.0
253,eupereiraoficial,Eu Pereira,7.8M,3.6M,395.7K,1.3K,2.1K,7.8,3.6,0.3957,1300.0,2100.0
254,sabrinacarpenter,Sabrina Carpenter,12.6M,3.2M,346.5K,3.3K,1.2K,12.6,3.2,0.3465,3300.0,1200.0
255,leymarbrown,Leymar Brown,633.9K,2M,251.5K,2.6K,7.1K,0.6339,2.0,0.2515,2600.0,7100.0
256,ferxxo444,Feid,3.5M,3.1M,381.7K,1.5K,2.6K,3.5,3.1,0.3817,1500.0,2600.0
